109/03/02,86372942,26864484400,308,317,308,311,-5,35320
109/03/03,55169411,17534766696,318.5,320,316,317.5,6.5,20713
109/03/04,44745146,14304795666,322,322,317,320.5,3,16118
109/03/05,38223525,12392618100,325,326,323,323,2.5,15107
109/03/06,52807760,16733485610,320,320.5,315,315,-8,24175
109/03/09,88633277,27236002054,307.5,310,305.5,305.5,-9.5,44882
109/03/10,74869130,22727941511,301.5,309,301,307,1.5,30268
109/03/11,64923710,19913151529,309,310.5,302,302,-5,27176
109/03/12,114173351,33544278206,299,299,287,294,-8,56989
109/03/13,151268148,42448997546,275,294,272.5,290,-4,71990
109/03/16,103933228,29343288916,285,291,275.5,276.5,-13.5,51292
109/03/17,122409651,32936712540,265,276.5,265,268,-8.5,57123
109/03/18,118620643,31555231792,269.5,272.5,260,260,-8,53985
109/03/19,160811697,39559889553,252,253,235.5,248,X0.00,77302
109/03/20,159179726,42110816042,258.5,270,256,270,22,69829
109/03/23,76963709,19851467203,257,262.5,252,255,-15,41621
109/03/24,82377933,22207033614,268,274,266,267.5,12.5,41077
109/03/25,80514199,22368633590,276.5,280,274,277,9.5,40932
109/03/26,54189633,15108299935,279.5,280,275.5,280,3,27648
109/03/27,69320306,19324060590,284,286,273,273,-7,36025
109/03/30,53403956,14205364184,263.5,269,262.5,267.5,-5.5,27779
109/03/31,53901923,14712557472,273,274,269.5,274,6.5,20343
